Parameter,Mean,Median,Std,Median-68%_lower,68%_upper-Median,Median-90%_lower,90%_upper-Median,Median-95%_lower,95%_upper-Median,Median-99%_lower,99%_upper-Median,Mean-Std,Mean+Std
alpha_2,214.45341895162932,214.45149015359766,0.02060768101518467,0.02009059074393349,0.022054980837680205,0.02752416052479134,0.03841035829412931,0.031729187059227115,0.046540315722808145,0.04247463033328813,0.04987972688570608,214.43281127061414,214.4740266326445
x0_3,79.85805794327142,79.85322334098515,0.0092477594738272,0.0005388662865186689,0.01129940370690008,0.0006074513906497714,0.02100606671237415,0.0006131356322782722,0.024046187452384515,0.001820079845941791,0.04933959030223889,79.8488101837976,79.86730570274524
y0_3,136.29156692456695,136.29050326285028,0.0103506009803992,0.0012037410671723592,0.010930030268241353,0.02151196149173984,0.017218314610630614,0.026297150948153103,0.020009964474013486,0.030580868087497493,0.023396719478682826,136.28121632358656,136.30191752554734
alpha_3,214.80395713996617,214.80440641349492,0.013186494853868852,0.01370270811250407,0.011270044356479048,0.01968758327026876,0.0197377312036906,0.028480492895255338,0.023910633605964904,0.03169686272954664,0.0272973168143551,214.7907706451123,214.81714363482004
x0_4,80.50660822344489,80.50544329496319,0.0026512181072757,0.00023746381513944925,0.0028722649228853925,0.0003086595056203123,0.005012802923573645,0.0003102704559836411,0.0058482155653223344,0.0003243931542158407,0.014244991392502016,80.50395700533761,80.50925944155216
y0_4,136.4641745185937,136.46891914399453,0.0107979606001057,0.011698727961828581,0.0009663049715413763,0.020414738331112403,0.0012575029616925804,0.02381641353088071,0.0012642070130368666,0.05801690112767233,0.0013217614722407234,136.45337655799358,136.4749724791938
alpha_4,214.29064338158943,214.29001287259567,0.002189553684963851,0.0008747870033971594,0.0012466866277236477,0.0011286156160679184,0.004769699821423501,0.0014496040717517644,0.006872139542252853,0.0016186582166994867,0.010666353036100418,214.28845382790448,214.2928329352744
x0_5,80.5103166458399,80.5085531253751,0.0036423221184891,0.0002541549242351948,0.003848774880779615,0.00032759459965348015,0.007613413830441118,0.00033143252832701364,0.007749739444619763,0.00035194438987673493,0.019682489531888336,80.5066743237214,80.51395896795839
y0_5,136.48156639243604,136.4875391287232,0.0122551166815578,0.013516431544474017,0.0009604140091141744,0.02587655637859143,0.0011969527166399985,0.02615279149165417,0.0012027241398868682,0.06535440634027623,0.0012723323164038902,136.46931127575448,136.4938215091176
alpha_5,214.31600546665396,214.31309620526957,0.03408263584824926,0.03941858792632047,0.04292041721222972,0.04682620637430546,0.04721883461508014,0.05188340057443952,0.07513202287307763,0.05591403117074378,0.08497014945282899,214.2819228308057,214.3500881025022
x0_6,80.61632103104613,80.61525689012551,0.0023882994703535,0.00022769106577413822,0.002675311341846509,0.00030239798877573776,0.004572833396323972,0.00030327753634651344,0.0061379139377493175,0.00031980045038437765,0.012616184064455638,80.61393273157577,80.61870933051648
y0_6,136.1858502581837,136.18897422124238,0.0069965142112557,0.007931667973565482,0.0007082558326487742,0.013632867613154076,0.0008672458223770718,0.01792360380480318,0.0008676210496219028,0.036819755944890176,0.0009076707738415735,136.17885374397244,136.19284677239497
alpha_6,214.67360025025914,214.67517108782576,0.04145744825449421,0.0592888729224228,0.05844143886932329,0.060072561610951425,0.06025041009175425,0.06040332550398375,0.06110333477693075,0.061272528663124604,0.06214852480852073,214.63214280200464,214.71505769851365
x0_7,80.76537889234942,80.76956677580647,0.0086424473625542,0.011191401896397224,0.0003639229777974151,0.0241435486211401,0.0026275997697240427,0.02923516604523968,0.003034828363468023,0.0327878113041038,0.006282921535657238,80.75673644498686,80.77402133971198
y0_7,136.0597708664346,136.04761114430482,0.0227239675892475,0.0010377605647704513,0.03157260722656474,0.002638279830676993,0.06468591738510554,0.005141143938146797,0.07767602595220069,0.0061246916551738195,0.0865321458618098,136.03704689884535,136.08249483402386
alpha_7,214.45391929879668,214.45822307722736,0.03238317038010867,0.040211815339318946,0.025303524537918065,0.06174875993778528,0.046725656335496524,0.06652324710580615,0.05058484213245151,0.07549535482397118,0.06955173350979749,214.42153612841656,214.4863024691768
