N,r,sigma,x0,y0,theta0
356.65383630901886,78.28420847055779,0.1504827648562547,80.41551524812901,136.62814048971296,3.74005738902341
355.629384309515,78.06730519246373,0.15455849215620904,80.36586521201019,136.375364416433,3.73820722027018
356.11570725671294,78.24541919151164,0.14144821139884306,80.46045338983929,136.52915141121488,3.739224791512887
356.86932452736,78.32884888573871,0.13665914201223367,80.49765219570254,136.63567390575878,3.7401721074697107
357.85655584353185,78.59944702716103,0.16403626101665275,80.59078192129408,136.91246477059724,3.7417260574020923
356.6177787456633,78.35781847760586,0.14848891244106213,80.4689207292938,136.66855379815954,3.7402456692712445
356.65152011569353,78.36153911554479,0.15902424993068984,80.51312306802616,136.6482221774576,3.739537855352976
356.64834631650353,78.26625666300389,0.146124603259073,80.4455365774607,136.58722707438216,3.739888922753424
355.541507277877,78.07355091805924,0.14159989393493366,80.37843825406861,136.3645630260871,3.7378874316882866
356.4049867411564,78.22194954763762,0.14895594241104715,80.41908813487845,136.52917588499338,3.7397919854033175
356.6648996034836,78.20981055798174,0.14553101854872083,80.3857521749752,136.5379990133658,3.7406372823419898
355.7943472619811,78.07405987391046,0.1419811719457494,80.39914293163162,136.36777576296794,3.738533020286332
355.8115703369826,78.11219100010685,0.13958658695826062,80.37751249501802,136.42218896513182,3.7387784705850167
356.9969108990736,78.47440812584733,0.1516259204869618,80.54237327876605,136.78377773923518,3.740348696515739
356.63604738929394,78.34508282776328,0.14886328779399688,80.465773399897,136.65393473940946,3.739788041984462
356.63894877993897,78.33896466022851,0.15583658024797384,80.48023181513763,136.65051614868116,3.73983967216653
356.5316313066739,78.30306289923824,0.15971892755394543,80.46753895132905,136.61274157547362,3.739660182966642
355.6192784021352,78.05955003816901,0.13774224271177163,80.36228732261047,136.3815778591579,3.7382728104179863
355.2318828095351,78.00942673634867,0.1388249840603868,80.35221020231378,136.31256546976252,3.737332481757595
356.52147506890844,78.23275402752323,0.1601659337813128,80.44157870670888,136.53944025228722,3.7398066121652516
356.65571854103337,78.30250692088433,0.16717590772785745,80.4996595573573,136.59700166158726,3.739782478263005
356.6564504296194,78.28446260208945,0.16464800266659682,80.44445658252211,136.60557611008957,3.7399675994663673
356.6408125950099,78.32704438001558,0.14697922314925765,80.49096743861173,136.6283748096156,3.7392030954321105
355.6169150012041,77.99324903347292,0.14556991384059892,80.32555437796714,136.31613020917445,3.738744854886917
357.8265785667664,78.52938163913825,0.158376850566695,80.52017872398858,136.85502722965893,3.7422529458984526
356.6247074769721,78.36142543710778,0.13294304963639572,80.51504853140297,136.63863630271194,3.739622690124331
357.28932883056103,78.58113098592948,0.13816862750074152,80.62128261915615,136.83921359419352,3.740440011018839
357.472525606968,78.4786937136025,0.1522756305474313,80.52672291242516,136.78636531318452,3.7417421793279213
355.8247120663549,78.1407956520064,0.1617540315495426,80.39559448186093,136.44874343418215,3.7384757436567364
356.12430484314325,78.22463487643088,0.1566995584463282,80.44785782811546,136.52124960003198,3.7390169025220685
357.3866423302294,78.53182862980381,0.15284301789770277,80.54546589121587,136.8375751337752,3.7412961713120594
356.67533216832544,78.46088436343813,0.15621335847774,80.53454054145666,136.75717451174742,3.739559876090928
356.6576489892709,78.2907291854901,0.14202663199618765,80.46477152566723,136.59701553995745,3.7392458144437932
356.6577969294475,78.37628189354928,0.1413810559691344,80.49240401362916,136.68226320865617,3.7398630391219587
357.98963010093934,78.68005045490335,0.13234640639086037,80.63047714810821,136.96213186035882,3.7417031523238036
356.6611577184366,78.27528637411427,0.14814072001916684,80.40829477507575,136.6107976724322,3.7402522835299767
356.6543391599076,78.32430752782622,0.1575273731536967,80.49595637301549,136.62294365767383,3.7396773984984586
356.4549802615136,78.17540536409166,0.1564232124069067,80.39822890096923,136.48029710265294,3.739830374238211
