N,alpha_1,alpha_2,alpha_3,alpha_5,alpha_6,alpha_7,r,sigma,x0_1,x0_2,x0_3,x0_5,x0_6,x0_7,y0_1,y0_2,y0_3,y0_5,y0_6,y0_7
359.31604,3.7434714,3.8103356,3.755396,3.6660807,3.7041814,3.6771328,77.22318,0.30699736,79.54556,75.269104,79.70418,86.865456,84.69695,86.51834,136.09807,137.79303,135.63567,137.3258,136.51968,137.40866
358.4025,3.748716,3.7124004,3.7459571,3.778568,3.8477983,3.8482368,77.449554,0.3402774,79.33305,82.10321,80.282166,78.19128,74.09541,73.49067,136.55254,134.5262,135.84302,134.91861,132.6129,132.13634
360.82602,3.7425559,3.7686,3.7606356,3.7879927,3.6409883,3.8114538,77.43089,0.30865768,79.88884,78.59297,79.53169,78.47199,89.51419,77.224434,136.00174,136.47887,135.88126,135.02277,138.00945,133.84521
361.5315,3.7513707,3.7823267,3.7580757,3.7077634,3.839488,3.6594582,77.75742,0.3435369,79.50336,77.81049,79.90494,84.56378,74.69318,88.145424,136.6963,137.29617,136.07904,136.92325,134.04483,138.63957
360.51505,3.7448678,3.7082226,3.7566576,3.6712496,3.6937437,3.6577973,77.69135,0.3416631,79.75114,82.99639,79.77819,86.77803,85.173096,88.00371,136.3393,134.42346,136.07889,137.53436,137.05418,138.48808
359.22977,3.7366993,3.7567143,3.7545595,3.7858632,3.6827254,3.6590276,77.521126,0.36943573,80.17379,79.40576,79.666145,77.91709,86.52224,87.66307,135.96825,136.16936,135.96576,135.03548,137.43011,137.93755
360.31564,3.7496452,3.7258778,3.7553132,3.7029753,3.6642344,3.7305663,77.61967,0.2988294,79.495575,81.55997,79.87009,83.89675,87.45298,82.45631,136.54478,135.12524,136.01546,137.27478,137.47418,136.38863
359.28162,3.73497,3.7579074,3.7525015,3.7113123,3.729908,3.7097414,77.399765,0.3180119,80.16069,79.26316,80.0338,83.26286,82.49729,83.86643,135.81529,136.16167,135.76968,136.58957,136.29544,136.67896
360.9558,3.7363365,3.7191124,3.7486901,3.8320818,3.6735294,3.6434846,77.496284,0.3536614,80.19544,81.8618,80.60133,74.95618,86.71131,89.11149,135.87784,134.78122,135.76512,134.10078,137.14961,138.4566
358.42664,3.7407262,3.7768538,3.7528665,3.7557924,3.7100036,3.6869576,77.32864,0.33824998,79.67879,77.90014,79.61934,79.71615,83.20635,85.20361,135.8956,136.8982,135.83589,135.32195,136.17152,136.93788
359.397,3.7424774,3.786654,3.7517726,3.7188318,3.7390678,3.7640254,77.534065,0.3334187,79.67279,77.28266,79.98523,82.71483,82.013054,79.879265,136.14351,137.22835,135.90051,136.61826,136.42766,135.58798
357.9291,3.7445993,3.75332,3.751106,3.8118498,3.7760687,3.7531385,77.22431,0.36239642,79.35623,79.316696,79.64112,75.542046,78.96071,80.35963,136.00635,135.83554,135.59813,134.25125,135.3576,135.5345
360.81702,3.7433717,3.7260814,3.7564893,3.632345,3.8305652,3.680207,77.6238,0.37242356,79.76421,81.46803,79.89408,89.721375,75.82666,86.1472,136.248,135.24347,136.12283,138.4472,133.98988,138.09398
359.31384,3.7433302,3.7278292,3.758041,3.7376003,3.8818305,3.6517255,77.59148,0.35697237,79.7956,81.25621,79.45558,80.86275,71.43084,88.020546,136.32669,135.25964,136.00725,136.3616,132.1127,138.63168
358.31055,3.74496,3.7734058,3.7527792,3.8762178,3.9049153,3.7020898,77.41637,0.31974566,79.566414,77.91635,79.707375,71.07924,70.057175,84.52011,136.2389,136.9,135.79425,132.49094,130.90872,136.7442
360.1298,3.7528644,3.796754,3.7557826,3.8284647,3.6847746,3.749983,77.38808,0.33068937,79.21393,76.39651,79.82644,74.96276,86.05302,81.10308,136.5617,137.47647,135.74342,134.56108,137.25095,135.643
359.3939,3.7482848,3.6980715,3.7550793,3.8382964,3.8895926,3.7430906,77.59596,0.32199007,79.60249,83.212326,79.82502,74.0224,70.8305,81.551796,136.41507,134.09152,136.04794,134.1635,131.85776,135.98119
358.9205,3.745853,3.7475123,3.75117,3.6266754,3.6443408,3.7385333,77.65906,0.32969877,79.81578,79.903015,79.95323,89.55828,88.93821,81.64533,136.44331,136.15964,135.9925,138.032,138.18369,136.28046
359.56735,3.7512128,3.7728345,3.752407,3.7565029,3.7761028,3.8047671,77.25526,0.33230478,79.17989,78.051125,79.93058,80.15562,79.43153,77.010254,136.3858,136.52469,135.64493,135.74672,134.90108,134.06073
358.58603,3.7506785,3.7573779,3.7527666,3.8204594,3.743361,3.7530541,77.389275,0.34753707,79.26262,79.27461,79.752235,75.19966,81.51738,80.60783,136.47885,136.41026,135.72987,134.01498,135.81876,135.28334
358.94638,3.756638,3.7453146,3.755047,3.8699217,3.7406092,3.7466278,77.6099,0.32878456,79.037506,80.02281,79.68592,71.82689,81.7776,81.204735,137.04788,135.69713,136.11125,132.90062,136.25412,136.02756
358.84662,3.74021,3.7211208,3.7447722,3.8555872,3.7472966,3.6669545,77.590706,0.36061418,79.87828,81.922356,80.439,72.658905,81.43914,86.71856,136.28911,135.13303,135.86252,133.4574,136.17383,137.92972
359.51038,3.7393293,3.7393606,3.7505963,3.755372,3.7146394,3.6852334,77.47185,0.32963246,79.92176,80.574265,80.00293,80.21297,83.65469,85.640656,136.1034,135.69574,135.81424,135.48398,137.01247,137.13579
358.40533,3.7456868,3.7296548,3.749348,3.832003,3.6420279,3.8209472,77.32016,0.34381253,79.3446,80.65436,79.979614,73.85479,88.84612,75.89797,136.3166,135.2015,135.72778,134.0621,138.16188,133.16406
359.34912,3.741575,3.7399592,3.7551193,3.7748497,3.744447,3.744166,77.68328,0.3351886,80.03302,80.318016,79.677086,78.55024,81.27969,81.21829,136.17706,135.83807,136.09108,135.13118,136.30255,136.08316
359.43262,3.7434394,3.738674,3.7574937,3.7530653,3.8911543,3.643652,77.173904,0.34252173,79.46147,80.497604,79.617615,80.58864,71.0258,88.85781,136.03166,135.27962,135.54225,135.53403,131.32771,138.01978
359.42285,3.74696,3.7775311,3.7468328,3.7617671,3.6738489,3.8049529,77.62951,0.3119169,79.54399,78.09951,80.336975,79.78209,86.80368,76.877945,136.44315,137.01857,135.93166,135.93877,137.59111,134.08983
359.8082,3.7503166,3.7659984,3.7503006,3.8210175,3.6821442,3.8076615,77.62905,0.31140447,79.53321,78.81015,80.167725,75.07066,86.03439,76.93979,136.71375,136.39305,136.01869,134.39778,137.65218,134.0609
359.42865,3.7368495,3.7563696,3.7509325,3.7791786,3.7358813,3.7004435,77.58083,0.35273683,80.03906,79.37491,80.09566,78.06026,82.09457,84.513435,135.89702,136.13585,135.99542,135.485,136.39249,137.2311
358.2667,3.731297,3.776839,3.751045,3.8549361,3.6640007,3.7223043,77.50399,0.37381685,80.42248,77.73942,79.82103,72.57822,87.279564,82.615364,135.66481,136.94441,135.91115,133.28468,137.39822,136.41354
359.42664,3.7400224,3.7368035,3.7518227,3.8384638,3.800144,3.8305929,77.49675,0.31633568,79.77921,80.60242,79.9989,73.85318,77.22759,75.174995,136.06601,135.40723,135.88304,133.70764,134.7723,132.977
360.12518,3.7433414,3.7364438,3.754818,3.6597757,3.7031872,3.7225199,77.75144,0.33789188,80.004654,80.9552,79.95322,87.58521,84.20151,82.87877,136.4657,135.72845,136.10085,137.79712,137.2331,136.68918
359.74945,3.7263255,3.739496,3.7605758,3.694117,3.6421406,3.6919334,77.8978,0.3703977,80.95412,80.55863,79.37978,84.5613,89.11433,85.31572,135.51567,136.04286,136.4192,137.91798,138.21751,137.65819
360.32697,3.7434359,3.742114,3.7483203,3.6687155,3.8162887,3.6789434,77.535164,0.32783383,79.912926,80.19658,80.3945,87.09459,76.37999,86.4029,136.45477,135.79797,135.85675,137.19081,134.1213,137.74065
359.19,3.7451518,3.7059379,3.7523375,3.8015819,3.72119,3.6369076,77.502335,0.32727534,79.59167,82.417175,79.927505,76.727394,83.29867,89.22618,136.34407,134.20805,135.98402,134.89355,136.50482,138.53563
359.9112,3.7491086,3.7248847,3.7485702,3.8669043,3.7052119,3.7363884,77.29455,0.32231507,79.32758,81.30261,80.232895,72.13303,84.6943,82.13963,136.31378,134.91364,135.69704,132.69887,137.12735,136.0817
360.2282,3.7343194,3.7697613,3.7541144,3.696024,3.8597133,3.7347133,77.2795,0.3454525,80.186806,78.28887,79.8504,84.715515,73.84146,82.23214,135.54578,136.40823,135.7517,137.11958,132.28027,136.03888
359.51862,3.7339952,3.7074888,3.7458491,3.78329,3.889908,3.658165,77.45635,0.31828368,80.21918,82.81471,80.40735,78.17419,71.271355,87.54444,135.84828,134.36037,135.68982,135.08138,131.4063,138.23695
357.82294,3.744547,3.7212982,3.7512271,3.7922196,3.7738662,3.6416764,77.38359,0.346704,79.60687,81.667496,79.73649,76.97496,78.628716,88.58059,136.36945,134.93073,135.65567,134.89502,134.7922,138.44943
360.94104,3.7537518,3.8009903,3.7524753,3.8716493,3.8498445,3.8242624,77.67964,0.32379717,79.43468,76.35178,80.31841,71.90544,74.104294,76.01077,136.90126,137.9639,136.01471,132.86514,133.66743,133.44942
358.13635,3.7367609,3.7820559,3.748994,3.806641,3.7937324,3.7606869,77.5936,0.39205104,80.15857,77.29596,79.955505,75.914444,77.619736,79.824524,136.10994,137.01054,135.92494,134.40692,135.19775,135.37689
