N,r,sigma,x0_0,y0_0,alpha_0,x0_1,y0_1,alpha_1,x0_2,y0_2,alpha_2,x0_3,y0_3,alpha_3,x0_4,y0_4,alpha_4,x0_5,y0_5,alpha_5,x0_6,y0_6,alpha_6,x0_7,y0_7,alpha_7
357.39623043136464,77.92149687867354,0.09607875829735935,80.09569681402286,136.37138917628906,3.7378812391046705,80.09602550799141,136.4609931442823,3.7410397131353,80.23111612122447,136.19679874730159,3.742605647878533,79.85604346207424,136.31539293832617,3.7492921957395833,80.50643784022212,136.46486824161215,3.7400692363132313,80.51015779048474,136.4822048108654,3.74117660950258,80.61594204870003,136.18691743475728,3.7477830937714747,80.76451578001948,136.06192438796336,3.743638095240883
357.3950159374063,77.92326606983592,0.09623067186305405,80.09726226764228,136.37245109304362,3.7379200969755355,80.10954215572313,136.47395140237322,3.741570932343426,80.2361556960434,136.20653805372433,3.7431496741015287,79.85261699734727,136.28960583915497,3.749221427813525,80.5051074920009,136.4702873578889,3.740071586938499,80.50818813839939,136.48886825076724,3.7404541292168996,80.614923379985,136.1899152528597,3.7457450465697377,80.76991306335637,136.0464615522375,3.7436609961237197
357.3952522370955,77.92271933521195,0.08830570131962277,80.09713283292479,136.37236416250462,3.7378596662692414,80.10907758090875,136.47359692487927,3.7412320968149957,80.23583257425501,136.20599211967155,3.7425124419410483,79.85298315995954,136.29120986861258,3.748827535465859,80.50522405766155,136.4698116387109,3.7400514599378343,80.50839671857211,136.48815980988996,3.740348489880697,80.61504659110186,136.18959780718427,3.746791573570889,80.76972335652826,136.04713028965415,3.74328770792353
357.39496173128305,77.92326272094475,0.0839445117739297,80.09714831028364,136.37237390272387,3.7379089777923933,80.10956374437994,136.47401586580932,3.741169242462144,80.23591024052435,136.2061246796906,3.74284908997527,79.85309703896031,136.29128026951904,3.7491286483725315,80.50521066024058,136.4698670911435,3.740067787865242,80.50833498234051,136.4883588195721,3.7404753365995544,80.61503429329507,136.18963423357764,3.74679963155951,80.76984169877537,136.04674461477174,3.7427670469125545
357.4196523498216,77.90626170671132,0.07949912823132134,80.08957101239928,136.36723053490513,3.737942427601713,80.09584456085338,136.4593451852958,3.740852091667654,80.25007144449242,136.2314220033065,3.7426622621538614,79.87410546745674,136.28024699672133,3.7488712326941322,80.51153432586518,136.4441143694327,3.740193813583732,80.51975668614787,136.45019489387698,3.7404455517117854,80.62200754498008,136.16952458468606,3.745819856574308,80.77263448151948,136.04697999394963,3.74255808246395
357.4025558796362,77.92326342275285,0.07916749708639063,80.09590563076829,136.3715308584645,3.737884175798721,80.08858392833355,136.4526837850762,3.7404082244196375,80.23052714541952,136.19657690490237,3.7432778827288127,79.85612544122807,136.30014563362346,3.7491160615790893,80.506341926308,136.46525972085993,3.740083624813755,80.50992559319121,136.48285680283288,3.7404908157393892,80.61605053736642,136.18665125167414,3.7468050811582208,80.7660991277412,136.05752328121108,3.7433838580719416
357.3951821171986,77.92396102558646,0.08534552574523543,80.09714869243707,136.37237430950503,3.737899470243465,80.1088118777494,136.47332400639442,3.7402248137851783,80.23603991630546,136.20633857825618,3.742830865871738,79.85274992605001,136.28958255559513,3.7490579643374398,80.50521039037393,136.46986809555577,3.740066022380847,80.50833431853046,136.48836058759997,3.740463494415272,80.61503386168884,136.18963528736057,3.7467941968061584,80.76955482583924,136.0474971306346,3.7429955702225612
357.3949013494134,77.92340271903149,0.0844745393562598,80.09714652708585,136.37237276784418,3.7379041136362527,80.10894543125222,136.4734238252237,3.7413660353547624,80.23632644224416,136.20682369637146,3.743110545162886,79.85316018858727,136.2916538367394,3.7489939314803205,80.50521225506901,136.4698605453945,3.740066873470089,80.50839852400799,136.48812278665838,3.7395356779635462,80.6150358316841,136.1896301029311,3.746809310846528,80.76978315789587,136.04680968083977,3.742331656970849
357.39494889572313,77.92348965570207,0.08216019889238659,80.0971457003246,136.37237215058724,3.7379077335466837,80.10894270220444,136.4733945511868,3.7408522494560636,80.23600856508223,136.2063408375128,3.742396790611172,79.85299976032233,136.29076605596075,3.7494388747692735,80.50521310403958,136.46985717540096,3.7400685137959564,80.50836587118737,136.48822368766585,3.7396528275437513,80.61503074465314,136.18967942282666,3.7478057323089815,80.76943970886464,136.04778197152817,3.7432790436620462
357.39704942037076,77.9204684784343,0.0857606573123821,80.09531632035115,136.37113112981282,3.7378682021383125,80.09456283313142,136.45966393872206,3.740262331883638,80.23684215651525,136.20995136563974,3.7432437050935987,79.85861964577087,136.30399082491263,3.7491987185767095,80.50672361312812,136.46370308563007,3.7400489550991547,80.50984571515967,136.48294317960125,3.7412747038268783,80.61676870767961,136.18460466227262,3.7457652862817046,80.76476073803487,136.06186459351866,3.742747944432016
