Parameter,Mean,Median,Std,Median-68%_lower,68%_upper-Median,Median-90%_lower,90%_upper-Median,Median-95%_lower,95%_upper-Median,Median-99%_lower,99%_upper-Median,Mean-Std,Mean+Std
rt_x0_3,79.90386049246288,79.90148731337646,0.0246280590667372,0.023943250733907462,0.027980782090480716,0.04040612517859188,0.0454522223505478,0.04528127281017191,0.05224354070121251,0.04850417466528256,0.059731382335044714,79.87923243339614,79.92848855152963
rt_y0_3,136.22366159872325,136.2309861606145,0.0306978817106829,0.009843990940282765,0.006140708681982687,0.05044436320159207,0.011819808875287663,0.13280648390477268,0.012420958596521814,0.16071876928873507,0.013702858492223413,136.19296371701256,136.25435948043395
rt_alpha_3,214.75021227069607,214.75024796291177,0.02305483611009846,0.025537480763375697,0.02514946101294413,0.035382105920007234,0.03530352128544223,0.03868866977148855,0.04108901782691987,0.05321034254424717,0.051256374766182944,214.72715743458596,214.77326710680617
rt_x0_4,80.54392576306151,80.54213795559212,0.0069972995386306,0.00031539243057920885,0.0011107994943415633,0.0009388333870390397,0.010626454743302816,0.0010281972403589634,0.030584950608101735,0.0013264539667829922,0.0378184765138343,80.53692846352288,80.55092306260013
rt_y0_4,136.3121386803549,136.31941984425953,0.0284971901791894,0.0045258584664225054,0.0012840177867587954,0.04327581290939975,0.0038222373345320193,0.12455807794819407,0.004186468623601058,0.15402189528447252,0.005402354265555687,136.2836414901757,136.3406358705341
rt_alpha_4,214.26673460546345,214.26515735364453,0.007202759319781825,0.0020061748491286835,0.0023758721423234874,0.003272443848572948,0.011775444694876569,0.003755801929429481,0.02410083820819864,0.004345103184874688,0.04046901636354505,214.25953184614366,214.27393736478325
rt_x0_5,80.65195572731807,80.6479360059974,0.0158542392930473,0.0015758875453144583,0.003864978511217032,0.0027110452969338894,0.01758963980485362,0.0030805903045347804,0.06107850415384064,0.003897739428055047,0.08823636127289092,80.63610148802502,80.66780996661112
rt_y0_5,136.41345318817372,136.42105429916728,0.0275366721090433,0.012058850362478779,0.004900662540791245,0.044462612911758015,0.008625252410695339,0.11874174547813254,0.009531934356658667,0.1431141101911635,0.012436085501036587,136.38591651606467,136.44098986028277
rt_alpha_5,214.20486220989295,214.2022414504129,0.03958045054438499,0.04054891031904617,0.040357794901154875,0.051177258916908386,0.08487589677960727,0.052849048657037656,0.0863104808670414,0.05931314896707818,0.0867805242670272,214.16528175934857,214.24444266043733
rt_x0_6,80.66993373875992,80.66727905685028,0.0100358227665868,0.0014999701298279433,0.0031319394763471564,0.002397175897897341,0.018530007652202585,0.0025976427845648686,0.040542907953010854,0.002925310321387542,0.053544692757100165,80.65989791599334,80.6799695615265
rt_y0_6,136.09757254895365,136.10472592503072,0.0276564149045213,0.00862589961460003,0.004276422105732536,0.04399134359925938,0.00698468715907552,0.11892620780585617,0.0075927530222088535,0.1479879836954865,0.008585998523557237,136.06991613404912,136.12522896385818
rt_alpha_6,214.62716679545898,214.6321656956858,0.04330909065799327,0.05864082930645509,0.05679310762172918,0.060259462213736015,0.05901282439486977,0.06100941623603262,0.0593768966903383,0.062182432348805605,0.08414913475922958,214.58385770480098,214.67047588611698
rt_x0_7,82.75968792536582,82.75111718941021,0.0335581923722475,0.00299156464380701,0.005282150424733345,0.004833778615491724,0.02355155544422871,0.005434744787635282,0.154902547792787,0.0065330727849470804,0.1706170503588993,82.72612973299357,82.79324611773808
