N,r,sigma_r,sigma_t,x0_0,y0_0,alpha_0,x0_1,y0_1,alpha_1,x0_2,y0_2,alpha_2,x0_3,y0_3,alpha_3,x0_4,y0_4,alpha_4,x0_5,y0_5,alpha_5,x0_6,y0_6,alpha_6,x0_7,y0_7,alpha_7
357.2680860858593,77.85530870638216,0.025349734895044093,0.12358122767269823,80.01840784677609,136.3189323017731,3.737886651943519,80.05745870078461,136.39558152811125,3.7409597595720774,80.18402108688267,136.15321385120373,3.743407247304447,79.88578067367946,136.2356125390449,3.74828868946907,80.54195449403346,136.32016854742722,3.7396581748254167,80.650898269149,136.41059199360066,3.73838854771443,80.66485676289209,136.11178730685606,3.7470667910146394,82.7487931080196,136.80262427241388,3.7149915506549456
357.2674216921316,77.85587145903486,0.026057411340481396,0.09812074081115786,80.0182836391836,136.31884802627258,3.7378843911979187,80.05487810182667,136.3938705817985,3.7406544238248856,80.18849028339663,136.15135229301777,3.7421042159658517,79.9008974513045,136.23537402148946,3.7480304304847327,80.54198983212234,136.32002472981225,3.7396604694902176,80.64743248052224,136.4217345728945,3.738534909557114,80.66686046456122,136.10574585292574,3.745017319337493,82.74714527794771,136.80233554716148,3.714486990600905
357.4585821605139,77.71190160848785,0.02362295954756173,0.11607614021848785,79.90029641635779,136.23876826260454,3.7378613607228948,79.90661707354671,136.34827368554627,3.7420909634374273,79.51383017963616,136.3471927056353,3.752394616409714,79.90127880115396,136.08282840932347,3.748600643994969,80.57599325935014,136.18154310558808,3.7402420546124344,80.71309383043285,136.29090663124373,3.7388574953380584,80.71876592210067,135.9707339791366,3.7466296685322855,82.93105905623185,136.71168607204885,3.7135804420052976
357.26691135367224,77.85851716581979,0.020307645226533416,0.12236619119538848,80.02117154346519,136.3208077553046,3.737906548173911,80.06459789076115,136.403953851428,3.7415969661606114,80.17484123978984,136.1525034460734,3.7433017003251337,79.96686344055183,136.2242013915033,3.7471467792204693,80.54115808274238,136.3234079639951,3.7395694554955257,80.64942144222651,136.41615072019866,3.7384181649504242,80.66769826251806,136.10333176335968,3.745017706676546,82.74992631676801,136.79483912954484,3.714949078631501
357.2676604892216,77.85024640991641,0.03021650679505117,0.11618385162649983,80.01751854110574,136.31832861911622,3.737892203068265,80.05878070291703,136.39948794118285,3.7408761908137076,80.19225386803537,136.1663838440239,3.742971671809297,79.90411119186193,136.22887179880772,3.7480632526410673,80.54220998790767,136.31912609278535,3.7396264821281133,80.64791813715522,136.41996916020452,3.739226254711426,80.66676511294604,136.1060586147745,3.7460428938391015,82.74938887696058,136.79561916981913,3.715755157315382
357.2677516287411,77.85240062231992,0.025660708160394882,0.11290114827610603,80.01733516089166,136.31820418040326,3.737890611591552,80.05343306359748,136.40497936548016,3.7415683354232345,80.1843141649516,136.13819911925583,3.742187947954709,79.85555307823135,136.24502885924105,3.7487360904342673,80.54226436955287,136.3189046536121,3.7396280602562095,80.64416565272296,136.43306830314043,3.739367320988165,80.6697315964828,136.09747233883417,3.7450069871532428,82.74866164647968,136.80082637627848,3.714829126278037
357.26795652074486,77.8532250785239,0.023822925139539753,0.11991379386735415,80.01790218958384,136.31858890638415,3.737898767265309,80.04524233331664,136.40854495563698,3.7409947034896667,80.17155715970163,136.15333430434168,3.7428580298399394,79.94756856600583,136.219407905741,3.7476087381243928,80.54210066876075,136.319570144779,3.73960309727312,80.64393612812184,136.4338288103979,3.7400251222745298,80.66517010638357,136.1108369776184,3.747063089006933,82.75104703103112,136.791706387425,3.7166584682970907
357.2670994468271,77.85937526435157,0.02519464022330146,0.12219010505025199,80.01886346818742,136.31924138477294,3.7378961105045083,80.06026341648653,136.4033174448068,3.7411442545772933,80.19209587618677,136.16337045200498,3.7426697906392037,79.90325520413586,136.2372042604517,3.7479954704450034,80.5418224811857,136.32070408054517,3.739616768887391,80.65130105798069,136.40847841219318,3.7376119930373153,80.66717882536398,136.1048273829132,3.7449888894470043,82.7521617747288,136.78798960490468,3.7147559377246977
357.2677765592822,77.85192014830385,0.029122934904019647,0.12554457735890379,80.01779974807934,136.3185194247984,3.737895718879763,80.05428586143918,136.39412500945693,3.7408856747965302,80.1912481505855,136.16121823675613,3.743165089419084,79.90194044300101,136.23364377083504,3.74839702545782,80.54212865277107,136.3194567516925,3.7396142281927442,80.64803811801801,136.41955333139276,3.7378401131765315,80.66600827196146,136.10829472332938,3.747056489099029,82.7484107266611,136.7977322303462,3.7150800729299767
357.26787794975127,77.85233698819351,0.024884361645084847,0.1139384504264796,80.01631459829757,136.31751140493736,3.7378971345619867,80.0513391638858,136.39062789837973,3.7409875683572693,80.17605889680009,136.16800762886717,3.7436011055759773,79.95406960233915,136.21597046549905,3.747629812466964,80.54255946816643,136.317705245131,3.7396777467933164,80.64537287331201,136.42876254583942,3.7400381970345937,80.66801522648407,136.10292370726174,3.746018168781207,82.75514146708673,136.80266631224103,3.7143948460909955
357.478937339328,77.70032404478,0.029422075197268072,0.10880251842979555,79.8923516816774,136.2333751885377,3.737922544934623,79.86195915991519,136.39125285935773,3.742280982319018,80.42290886432006,135.84166927526138,3.7386038079474657,79.86472980498634,136.08118716106554,3.7490044252315218,80.57828268611364,136.1722261173941,3.7404163448700745,80.70951429023454,136.27771771437185,3.7390121725148635,80.71067944970324,135.9728482493778,3.7478324586943335,82.91010441249537,136.68783876052134,3.713917441565299
357.2776367535069,77.84806914286804,0.025952753706211338,0.10543569141890823,80.0140726650771,136.31598971468716,3.7378999606609398,80.04442966147853,136.4139637016046,3.741030097623482,80.20002510054378,136.18128370071474,3.74337718247366,79.89688916133447,136.22742135931446,3.7480344426467904,80.54328943706072,136.31472741568433,3.7395979640836123,80.65336084565398,136.40381768604013,3.7384201503701857,80.67251559655348,136.08945067225181,3.745017461390346,82.75648297119102,136.78162942195485,3.7147195672556608
357.2674515172621,77.8546636429453,0.02693903990886628,0.10931777128530541,80.01809663855164,136.31872087111418,3.737899493160447,80.06034509837848,136.40369503813196,3.7403811424288564,80.1919735166547,136.15779081598788,3.7428113213500316,79.90264217874713,136.22576423010688,3.748049387285619,80.54204318107499,136.3198042760033,3.7396022521792127,80.64634666376608,136.42542461631865,3.738629984120702,80.6657172467667,136.10917913861238,3.7471003077857095,82.7519034438669,136.78808696900293,3.71565523624948
357.27056678330547,77.8496397527176,0.025353582431457862,0.12389612945936733,80.01505876330668,136.3166593155398,3.7378798311540007,80.05322055568335,136.40193318260654,3.7412104963955706,80.19118342078784,136.1438855068315,3.742711244940242,79.90776253240277,136.23267119799044,3.747887876519566,80.54292036463303,136.31623529271826,3.739680743323938,80.64512719810527,136.42962934640053,3.740046415363273,80.66911751729295,136.09933148961218,3.7460549889780923,82.7468667414621,136.80421702740284,3.716020753639801
357.26688819351335,77.85260470716226,0.027746954118521547,0.11724167221155753,80.01582998582164,136.31718263451535,3.737887805843542,80.05279379839,136.39671779143632,3.7405776811763416,80.18618320726002,136.17492312493948,3.743320900552839,79.86076043949784,136.2331303702275,3.7485469297934464,80.54269893135198,136.31713485144553,3.73963524595806,80.64534444831679,136.42887227688837,3.7386448735607214,80.66865874755891,136.10077257169448,3.746024589578469,82.75067590151251,136.7926617109729,3.716648047858125
